,file,id_a,id_b,count_a,count_b
103,965_4_187_9_5_S923,4,187,16,0
104,272_131_156_2_4_S264,131,156,0,0
105,429_131_184_8_6_S412,131,184,3,8
106,729_4_131_7_3_S700,4,131,9,2049
107,993_186_200_3_4_S951,186,200,40,0
108,1155_2_200_8_1_S1101,2,200,9502,0
109,210_131_200_2_1_S202,131,200,0,0
110,845_4_131_4_3_S812,4,131,4,11
111,489_187_200_7_4_S468,187,200,11,0
112,390_186_156_8_6_S373,186,156,1,7
113,409_2_187_7_4_S392,2,187,5,2635
114,802_156_184_9_6_S769,156,184,2,1
115,1004_186_131_4_4_S962,186,131,3,58
116,949_156_184_4_4_S912,156,184,16,2077
117,839_2_184_3_6_S806,2,184,0,11
118,616_131_187_6_5_S591,131,187,12029,0
119,972_2_186_4_6_S930,2,186,3,7171
120,31_4_156_5_5_S31,4,156,15,69
121,126_2_4_5_2_S122,2,4,0,9711
122,551_186_184_10_4_S530,186,184,0,0
123,169_186_184_5_2_S165,186,184,1,8
124,770_186_187_9_2_S737,186,187,0,0
125,660_187_156_9_7_S635,187,156,0,11
126,507_187_184_1_2_S486,187,184,0,1
127,800_156_184_9_4_S767,156,184,0,0
128,725_4_131_7_10_S696,4,131,6,590
129,1037_184_200_8_10_S995,184,200,11,0
130,1028_184_200_8_1_S986,184,200,2,0
131,299_184_200_6_7_S287,184,200,12700,0
132,198_131_187_4_1_S190,131,187,61,0
133,635_2_187_1_2_S610,2,187,0,1
134,812_2_200_6_5_S779,2,200,2,0
135,484_187_200_4_4_S463,187,200,39,0
136,156_186_184_5_1_S152,186,184,83,7889
137,186_186_131_5_5_S182,186,131,17,3531
138,1067_187_200_2_5_S1018,187,200,10424,0
139,1082_187_184_1_6_S1033,187,184,0,1
140,172_186_184_4_1_S168,186,184,24,1467
141,648_186_187_7_7_S623,186,187,1,1
142,5_4_156_2_4_S5,4,156,1,0
143,164_187_184_5_3_S160,187,184,1,3
144,934_2_187_3_5_S897,2,187,0,2
145,247_2_184_5_3_S239,2,184,0,0
146,1206_186_200_8_6_S1152,186,200,20161,0
147,804_131_184_9_2_S771,131,184,14952,651
148,815_2_200_6_8_S782,2,200,13326,0
149,467_186_184_9_3_S450,186,184,0,2
150,1130_186_200_9_4_S1081,186,200,30,0
151,152_156_200_1_7_S148,156,200,12,0
152,966_4_187_9_6_S924,4,187,6,0
153,421_131_200_6_2_S404,131,200,4526,0
154,254_2_184_5_2_S246,2,184,0,17839
155,866_187_156_10_2_S829,187,156,0,18672
156,502_4_184_5_4_S481,4,184,2,0
157,80_2_4_9_5_S80,2,4,0,216
158,518_2_156_4_1_S497,2,156,0,10
159,984_187_156_7_1_S942,187,156,1,11528
160,1091_2_131_9_4_S1042,2,131,0,19639
161,107_2_156_5_8_S103,2,156,0,1553
162,392_186_156_8_8_S375,186,156,0,13
163,658_187_156_9_5_S633,187,156,0,10
164,1000_186_187_2_6_S958,186,187,7,0
165,939_2_186_9_2_S902,2,186,2,74399
166,556_156_184_6_3_S535,156,184,8,1
167,224_4_184_1_7_S216,4,184,1,0
168,118_131_187_4_8_S114,131,187,1,1
169,231_186_4_8_2_S223,186,4,0,1738
170,604_4_131_6_6_S579,4,131,65,7558
171,1200_131_200_10_3_S1146,131,200,21,0
172,1203_186_200_8_3_S1149,186,200,14192,0
173,700_4_200_1_9_S671,4,200,5062,0
174,137_156_200_1_3_S133,156,200,634,0
175,937_2_187_3_8_S900,2,187,0,100
176,920_187_156_5_5_S883,187,156,0,2
177,524_184_200_7_2_S503,184,200,0,0
178,1117_184_200_9_1_S1068,184,200,17,0
179,601_4_131_6_3_S576,4,131,1076,13680
180,707_2_184_6_3_S678,2,184,0,1699
181,244_186_4_8_3_S236,186,4,0,26
182,1013_131_184_7_3_S971,131,184,4,0
183,71_187_200_5_2_S71,187,200,499,0
184,279_186_156_2_8_S271,186,156,0,10
185,145_156_200_2_6_S141,156,200,7366,0
186,743_2_186_2_4_S714,2,186,61,6869
187,158_186_184_5_4_S154,186,184,1,7060
188,442_184_200_10_3_S425,184,200,8,0
189,819_4_200_3_4_S786,4,200,7,0
190,359_131_156_2_5_S347,131,156,0,0
191,1121_184_200_9_5_S1072,184,200,4,0
192,495_4_200_7_4_S474,4,200,9,0
193,924_2_187_10_1_S887,2,187,0,1
194,873_187_156_10_9_S836,187,156,0,1130
195,1031_184_200_8_4_S989,184,200,2,0
196,679_186_156_1_6_S650,186,156,1,1288
197,138_156_200_1_10_S134,156,200,225,0
198,921_187_156_5_6_S884,187,156,1,6
199,976_4_187_3_2_S934,4,187,5482,0
200,727_4_131_7_2_S698,4,131,12,38
201,946_156_184_4_1_S909,156,184,2555,6
202,270_186_156_10_6_S262,186,156,0,0
203,834_2_184_3_1_S801,2,184,0,4
204,622_186_156_4_3_S597,186,156,0,6
205,590_4_200_8_5_S565,4,200,14567,0
206,113_2_156_5_6_S109,2,156,0,4908
207,625_2_184_2_1_S600,2,184,2,4803
208,857_186_156_5_5_S824,186,156,0,4
209,364_2_156_6_7_S352,2,156,0,723
210,705_2_184_6_2_S676,2,184,0,8249
211,252_186_131_10_1_S244,186,131,1,15895
212,527_156_200_5_1_S506,156,200,13,0
213,659_187_156_9_6_S634,187,156,0,11
214,226_156_184_5_2_S218,156,184,74,9
215,568_131_187_7_2_S547,131,187,4379,8
216,2_4_156_1_5_S2,4,156,3599,14
217,1035_184_200_8_8_S993,184,200,22,0
218,349_4_131_2_4_S337,4,131,91,6037
219,165_187_184_5_1_S161,187,184,0,11
220,907_4_187_7_1_S870,4,187,5373,1
221,728_4_131_7_8_S699,4,131,4,1053
222,881_4_184_2_7_S844,4,184,17,0
223,10_4_156_5_2_S10,4,156,2256,11
224,640_2_187_1_7_S615,2,187,0,37
225,508_187_184_1_3_S487,187,184,0,6
226,229_186_4_8_8_S221,186,4,0,12524
227,1040_131_186_7_3_S998,131,186,57,3
228,225_4_184_1_1_S217,4,184,2,2
229,788_186_200_10_1_S755,186,200,9,0
230,538_186_4_9_3_S517,186,4,0,1
231,643_186_187_7_2_S618,186,187,5329,6
232,963_4_187_9_3_S921,4,187,10,1
233,418_4_184_7_5_S401,4,184,6,2
234,68_187_200_5_4_S68,187,200,19,0
235,428_131_200_4_1_S411,131,200,7,0
236,433_2_184_9_6_S416,2,184,0,1954
237,742_2_186_2_3_S713,2,186,0,3638
238,974_2_186_4_8_S932,2,186,1,20626
239,281_2_184_5_1_S273,2,184,0,7
240,877_4_184_2_3_S840,4,184,48,1954
241,552_2_184_4_8_S531,2,184,0,17
242,821_4_200_3_6_S788,4,200,5,0
243,1059_2_131_2_3_S1010,2,131,0,9
244,301_184_200_7_1_S289,184,200,0,0
245,336_156_184_5_4_S324,156,184,29,251
246,251_186_156_2_5_S243,186,156,0,9578
247,531_156_200_5_5_S510,156,200,7,0
248,964_4_187_9_4_S922,4,187,90,0
249,494_4_200_7_3_S473,4,200,6,0
250,714_2_187_5_1_S685,2,187,0,7104
251,517_2_156_9_7_S496,2,156,0,1
252,312_131_187_8_1_S300,131,187,2196,250
253,488_187_200_7_3_S467,187,200,1,0
254,340_2_200_10_7_S328,2,200,4304,73
